"","smw_increase1015","mean.pre","sd.pre","n.pre","smw_increase1015","mean.post","sd.post","n.post"
"1",FALSE,18.4252315983368,12.7814451876232,44574,FALSE,20.4087770715568,15.8984954544659,42322
"2",TRUE,20.1951566561588,14.2647117930541,38261,TRUE,22.1234021891324,18.2132779107754,32489
